RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,2.00,282207320,564414640.00,0.02
RAMBODA FALLS PLC,RFL.N0000,24.00,20000000,480000000.00,0.02
REGNIS(LANKA) PLC,REG.N0000,137.70,11267863,1551584735.10,0.06
RENUKA AGRI FOODS PLC,RAL.N0000,3.00,561750000,1685250000.00,0.07
RENUKA CITY HOTEL PLC,RENU.N0000,294.70,7000000,2062900000.00,0.08
RENUKA FOODS PLC,COCO.N0000,20.00,117960106,2359202120.00,0.10
RENUKA HOLDINGS PLC,RHL.N0000,21.60,89034626,1923147921.60,0.08
RESUS ENERGY PLC,HPWR.N0000,20.50,58390263,1197000391.50,0.05
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,8.00,2035038275,16280306200.00,0.66
RICHARD PIERIS EXPORTS PLC,REXP.N0000,225.00,11163745,2511842625.00,0.10
ROYAL CERAMICS LANKA PLC,RCL.N0000,115.60,110789384,12807252790.40,0.52
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,24.50,50000000,1225000000.00,0.05
SAMPATH BANK PLC,SAMP.N0000,260.50,176981069,46103568474.50,1.87
SAMSON INTERNATIONAL PLC,SIL.N0000,100.00,4232771,423277100.00,0.02
SANASA DEVELOPMENT BANK PLC,SDB.N0000,100.50,42061577,4227188488.50,0.17
SATHOSA MOTORS PLC,SMOT.N0000,298.70,6033622,1802242891.40,0.07
SELINSING  PLC,SELI.N0000,1349.80,6940080,9367719984.00,0.38
SENKADAGALA FINANCE PLC,SFCL.N0000,60.00,65227555,3913653300.00,0.16
SERENDIB ENGINEERING GROUP PLC,IDL.N0000,7.70,32383250,249351025.00,0.01
SERENDIB HOTELS PLC,SHOT.N0000,24.90,75514738,1880316976.20,0.08
SERENDIB LAND PLC,SLND.N0000,1661.20,360000,598032000.00,0.02
SEYLAN BANK PLC,SEYB.N0000,87.50,175977401,15398022587.50,0.62
SEYLAN DEVELOPMENTS PLC,CSD.N0000,14.50,147964860,2145490470.00,0.09
SHALIMAR (MALAY)  PLC,SHAL.N0000,2298.20,6940080,15949691856.00,0.65
SIERRA CABLES PLC,SIRA.N0000,3.40,537512430,1827542262.00,0.07
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,59.70,9000000,537300000.00,0.02
SINGER FINANCE (LANKA) PLC,SFIN.N0000,19.50,165333334,3224000013.00,0.13
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,145.50,3846300,559636650.00,0.02
SINGER SRI LANKA PLC,SINS.N0000,128.50,125209610,16089434885.00,0.65
SINGHE HOSPITALS PLC,SINH.N0000,1.90,398225895,756629200.50,0.03
